lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,rate,executors,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.06388369186666666,8.661250318283333,4509.0,1673.0,1.0,63.1641162120204,0.02362301488376339
projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.07252619393333333,8.096648650383333,4527.0,1826.0,1.0,62.91296664457698,0.0243533340121556
projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.06898926913333334,7.302792013583334,5171.0,1790.0,1.0,55.0777412492748,0.027053408097413335
projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.0846752875,8.01904854225,4865.0,1219.0,1.0,58.542034943473794,0.02664962588700418
projection,0.1,2,1,true,4,1000,6,drop3,1.0,6,0.08041529525,8.239202511483333,4547.0,1375.0,1.0,62.63624367714977,0.023468524298911192
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.1,6,0.032242633816666665,5.967672271483333,16.0,8632.0,392.0,1792.5,0.006276150627615063
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.1,6,0.035489930766666664,6.131995877416666,16.0,8086.0,175.0,1779.1875,0.005374644325007904
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.1,6,0.0310309953,4.562187951766667,16.0,8655.0,217.0,1778.625,0.005587181109002741
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.1,6,0.03710713523333333,5.49566989625,16.0,8264.0,160.0,1799.9375,0.0046876627660682665
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.1,6,0.0324685656,5.45303640595,16.0,8283.0,174.0,1783.5625,0.006097347303500718
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.25,6,0.035420351083333336,11.037177240816666,16.0,23847.0,498.0,4449.75,0.003988988145401427
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.25,6,0.046486494516666664,11.79451908245,16.0,21979.0,677.0,4457.8125,0.004794952681388013
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.25,6,0.029863198,8.805456938183333,16.0,21070.0,647.0,4464.3125,0.005109969340183959
