lshMEthod,ands,imbalance,isMethod,database,one_class_method,level_6,trees,depth,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,balancedAcc,mcc,AreaROC,timeIS,timeLSH,model_complexity,Total Time,Reduction of DataSet(%),reduction,k,type,db/IS_Method,% of samples
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,2,50,30,393.0,215449.0,393.0,3.0,99.24242424242424,99.8179223691404,50.0,99.81686845050362,66.497461928934,99.52975735304292,99.41507368043908,99.53017330578231,0.7037669640456591,0.9999930378924308,0.0566611120333333,0.0555617644666666,1500,0.1122228764999999,5.393381547227705,0.946066184527723,3,train,"credit_card/
drop3-boundaries",94.6066184527723
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,3,50,30,396.0,216122.0,396.0,3.0,99.24812030075188,99.81710527531196,50.0,99.81605867682109,66.49874055415617,99.53220620702116,99.4188157931199,99.53261278803191,0.7037843254712517,0.999993059572007,0.060404508,0.0511700458333333,1500,0.11157455383333331,4.940423402144245,0.9505957659785575,4,train,"credit_card/
drop3-boundaries",95.05957659785575
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,4,50,30,391.0,211727.0,391.0,1.0,99.74489795918367,99.81566863726796,50.0,99.81553809232506,66.6098807495741,99.78027702382862,99.76612916260896,99.78028329822581,0.7055481065781374,0.9999976384795588,0.06145826285,0.0857288025166666,1500,0.1471870653666666,6.745302512067964,0.9325469748793204,5,train,"credit_card/
drop3-boundaries",93.25469748793203
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,5,50,30,77.0,56920.0,77.0,26.0,74.75728155339806,99.86490517044756,50.0,99.81961471103328,59.92217898832685,86.4038704754049,82.2895686385129,87.31109336192281,0.6105491208265078,0.9636271352399376,0.04857887535,0.09132380075,1500,0.1399026761,6.145018395103996,0.93854981604896,1,test,"credit_card/
drop3-boundaries",93.85498160489601
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,6,50,30,79.0,56639.0,79.0,21.0,79.0,99.86071441165062,50.0,99.8239994367982,61.24031007751938,88.82002273429342,85.25821432349518,89.43035720582532,0.6277031855440509,0.9757182985383114,0.0488350617833333,0.0531685515833333,1500,0.1020036133666666,4.245299565034378,0.9575470043496562,2,test,"credit_card/
drop3-boundaries",95.75470043496563
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,7,50,30,78.0,56554.0,78.0,18.0,81.25,99.86226868201724,50.0,99.83077140036666,61.90476190476191,90.07668583165068,86.83368060460516,90.55613434100863,0.6366343232387905,0.9586644401096364,0.0566611120333333,0.0555617644666666,1500,0.1122228764999999,5.393381547227705,0.946066184527723,3,test,"credit_card/
drop3-boundaries",94.6066184527723
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,8,50,30,73.0,56934.0,73.0,20.0,78.49462365591397,99.87194555054644,50.0,99.8371278458844,61.0878661087866,88.54044714012954,84.9078202243037,89.1832846032302,0.6257456779945472,0.9618497361628284,0.060404508,0.0511700458333333,1500,0.11157455383333331,4.940423402144245,0.9505957659785575,4,test,"credit_card/
drop3-boundaries",95.05957659785575
RHF+DPF,6,True,drop3,credit_card,drop3-boundaries,9,50,30,81.0,57241.0,81.0,19.0,81.0,99.85869299745298,50.0,99.82585071923651,61.83206106870229,89.93638936934087,86.65760789923588,90.42934649872649,0.6356297348760221,0.9763046783505576,0.06145826285,0.0857288025166666,1500,0.1471870653666666,6.745302512067964,0.9325469748793204,5,test,"credit_card/
drop3-boundaries",93.25469748793203
RHF+DPF,6,True,drop3,credit_card,drop3-one,0,25,30,382.0,209438.0,382.0,7.0,98.20051414,99.81793919,50.0,99.81494608,66.26192541,99.0059238,98.68574165499999,99.009226665,0.700042503872267,0.999983289,0.033086573,0.052502079,750,0.085588652,7.8809190999999945,0.921190809,1,train,"credit_card/
drop3-one",92.1190809
RHF+DPF,6,True,drop3,credit_card,drop3-one,1,25,30,390.0,215158.0,390.0,2.0,99.48979592,99.81906582,50.0,99.81846809,66.55290102,99.65429488,99.58857689000001,99.65443087,0.7046524515976075,0.997444332,0.036561823,0.046481809,750,0.083043632,5.486179300000005,0.945138207,2,train,"credit_card/
drop3-one",94.5138207
RHF+DPF,6,True,drop3,credit_card,drop3-one,2,25,30,390.0,212024.0,390.0,6.0,98.48484848,99.81639628,50.0,99.81391852,66.32653061,99.1483871,98.88431281999999,99.15062238,0.7010552094288147,0.999985851,0.036120739,0.044643397,750,0.080764136,6.894586899999999,0.931054131,3,train,"credit_card/
drop3-one",93.1054131
RHF+DPF,6,True,drop3,credit_card,drop3-one,3,25,30,395.0,215437.0,395.0,4.0,98.99749373,99.81698729,50.0,99.81547512,66.44238856,99.40639604,99.24334179799999,99.40724051000001,0.7028897912516574,0.99872809,0.038773917,0.051677242,750,0.090451159,5.240721100000001,0.947592789,4,train,"credit_card/
drop3-one",94.7592789
RHF+DPF,6,True,drop3,credit_card,drop3-one,4,25,30,386.0,214008.0,386.0,6.0,98.46938776,99.81995765,50.0,99.81749276,66.32302405,99.14237296,98.874558727,99.144672705,0.7010129606920157,0.999985982,0.037838262,0.055093198,750,0.09293146,5.7424975999999965,0.942575024,5,train,"credit_card/
drop3-one",94.2575024
RHF+DPF,6,True,drop3,credit_card,drop3-one,5,25,30,76.0,56922.0,76.0,27.0,73.78640777,99.86666199,50.0,99.81961787,59.60784314,85.84172787,81.61048403599999,86.82653488,0.6065609230536234,0.974762946,0.033086573,0.052502079,750,0.085588652,7.8809190999999945,0.921190809,1,test,"credit_card/
drop3-one",92.1190809
RHF+DPF,6,True,drop3,credit_card,drop3-one,6,25,30,80.0,56639.0,80.0,20.0,80.0,99.85895379,50.0,99.82400253,61.53846154,89.37961906,85.957686137,89.929476895,0.6316746596778701,0.976013982,0.036561823,0.046481809,750,0.083043632,5.486179300000005,0.945138207,2,test,"credit_card/
drop3-one",94.5138207
RHF+DPF,6,True,drop3,credit_card,drop3-one,7,25,30,78.0,56554.0,78.0,18.0,81.25,99.86226868,50.0,99.8307714,61.9047619,90.07668583,86.833680604,90.55613434,0.6366343232387905,0.95866444,0.036120739,0.044643397,750,0.080764136,6.894586899999999,0.931054131,3,test,"credit_card/
drop3-one",93.1054131
RHF+DPF,6,True,drop3,credit_card,drop3-one,8,25,30,73.0,56930.0,73.0,20.0,78.49462366,99.87193656,50.0,99.83711644,61.08786611,88.54044316,84.90781752999999,89.18328011,0.6257456266748347,0.939583444,0.038773917,0.051677242,750,0.090451159,5.240721100000001,0.947592789,4,test,"credit_card/
drop3-one",94.7592789
RHF+DPF,6,True,drop3,credit_card,drop3-one,9,25,30,80.0,57241.0,80.0,20.0,80.0,99.86043509,50.0,99.82584769,61.53846154,89.38028198,85.958130527,89.930217545,0.6316828639775673,0.976015837,0.037838262,0.055093198,750,0.09293146,5.7424975999999965,0.942575024,5,test,"credit_card/
drop3-one",94.2575024
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-boundaries,0,25,30,3634.0,4545346.0,3634.0,126.0,96.64893617021276,99.92011395961292,50.0,99.91741237145104,65.904969169387,98.2709149046808,97.63028950703281,98.28452506491284,0.6948514098792812,0.998340500996722,8.647142683683333,3.1053933778833334,750,11.752536061566666,12.413643324644873,0.8758635667535513,2,train,"gateway_credit_card/
drop3-boundaries",87.58635667535512
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-boundaries,1,25,30,3611.0,4503407.0,3611.0,155.0,95.8842272968667,99.91988050635698,50.0,99.9165111874122,65.72624681470695,97.8812573169516,97.09492325971378,97.90205390161184,0.6920892759777927,0.9986019573755908,7.549702492433333,2.970466903616667,750,10.520169396050001,13.240715574305051,0.8675928442569495,3,train,"gateway_credit_card/
drop3-boundaries",86.75928442569494
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-boundaries,2,25,30,489.0,1298190.0,489.0,466.0,51.2041884816754,99.96234635348688,50.0,99.92651777346543,50.59493016037247,71.5436288131547,65.83163584321883,75.58326741758114,0.5056175155307344,0.9764287708764638,8.647142683683333,3.1053933778833334,750,11.752536061566666,12.413643324644873,0.8758635667535513,2,test,"gateway_credit_card/
drop3-boundaries",87.58635667535512
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-boundaries,3,25,30,483.0,1297021.0,483.0,466.0,50.89567966280295,99.96277468123412,50.0,99.92691302650154,50.44386422976501,71.32792831970546,65.6158081683323,75.42922717201853,0.5040928591285111,0.9789870887595278,7.549702492433333,2.970466903616667,750,10.520169396050001,13.240715574305051,0.8675928442569495,3,test,"gateway_credit_card/
drop3-boundaries",86.75928442569494
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-one,0,25,30,3619.0,4327828.0,3619.0,141.0,96.25,99.91644824466282,50.0,99.9132682706962,65.8119658119658,98.06609069167996,97.34993447339885,98.08322412233142,0.6933980901016197,0.9987433577927456,2.83987384485,1.8493491155833333,750,4.689222960433334,16.601679750690522,0.8339832024930948,2,train,"gateway_credit_card/
drop3-one",83.39832024930948
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-one,1,25,30,3631.0,4317673.0,3631.0,135.0,96.4152947424323,99.91597443734577,50.0,99.9129262647772,65.8505622052956,98.1500286543719,97.46549865090633,98.16563458988904,0.6939929589662761,0.9990222999979158,6.164034981233334,2.6821760107,750,8.846210991933333,16.81598846901008,0.8318401153098992,3,train,"gateway_credit_card/
drop3-one",83.18401153098992
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-one,2,25,30,3664.0,4314050.0,3664.0,132.0,96.522655426765,99.91514028025014,50.0,99.91216033284664,65.87558432218626,98.2042496900591,97.54040088281053,98.21889785350757,0.6943770385692619,0.9993033170455328,10.335812420983334,3.396691381483333,750,13.732503802466667,16.855020229498074,0.8314497977050193,4,train,"gateway_credit_card/
drop3-one",83.14497977050192
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-one,3,25,30,498.0,1298175.0,498.0,457.0,52.14659685863874,99.96165316442244,50.0,99.92651743421963,51.050743208610974,72.1987536519032,66.49111375037384,76.05412501153059,0.5102527575716662,0.9635111964490628,2.83987384485,1.8493491155833333,750,4.689222960433334,16.601679750690522,0.8339832024930948,2,test,"gateway_credit_card/
drop3-one",83.39832024930948
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-one,4,25,30,479.0,1297014.0,479.0,470.0,50.474183350895686,99.96308265246904,50.0,99.92691240733124,50.235972732039855,71.03206995520729,65.32085314136769,75.21863300168236,0.5019996277880182,0.9722054680040232,6.164034981233334,2.6821760107,750,8.846210991933333,16.81598846901008,0.8318401153098992,3,test,"gateway_credit_card/
drop3-one",83.18401153098992
RHF+DPF,6,True,drop3,gateway_credit_card,drop3-one,5,25,30,480.0,1298930.0,480.0,439.0,52.23068552774755,99.96306015807174,50.0,99.92932557837288,51.09100585417776,72.25745054669142,66.55039791684482,76.09687284290965,0.5106783611747863,0.973203852916118,10.335812420983334,3.396691381483333,750,13.732503802466667,16.855020229498074,0.8314497977050193,4,test,"gateway_credit_card/
drop3-one",83.14497977050192
RHF+DPF,6,True,drop3,pageblocks,drop3-boundaries,0,50,20,435.0,3536.0,435.0,2.0,99.54233409610984,89.04558045832283,50.0,90.08620689655172,66.56465187452181,94.14778234119169,96.39330800477373,94.29395727721634,0.6651607273083906,0.9929146333491,0.0310142648666666,0.0185751095666666,1000,0.049589374433333194,9.196713829301684,0.9080328617069832,1,train,"pageblocks/
drop3-boundaries",90.80328617069831
RHF+DPF,6,True,drop3,pageblocks,drop3-boundaries,1,50,20,447.0,3450.0,447.0,2.0,99.554565701559,88.52963818321786,50.0,89.66866083755177,66.56738644825019,93.8804009420838,96.24708744605664,94.04210194238843,0.6632576288332827,0.9941793394107816,0.0283520807,0.0252714455666666,1000,0.053623526266666596,10.98951208390333,0.8901048791609667,2,train,"pageblocks/
drop3-boundaries",89.01048791609666
