tipo,tp,fn,tn,fp,TPR,SPC,PPV,ACC,F1,MGEO,PEXC,MCC,areaRoc,trees,impurity,depth,bins
train,2381,1171,4866649,128,67.03265766,99.99736992,94.89836588,99.97332829,78.56789309,81.87239745,0.670300276,0.797460194,0.708900763,2,gini,20,64
test,520,657,1621306,151,44.18011895,99.99068739,77.49627422,99.95020442,56.27705628,66.46503188,0.441708063,0.584917406,0.720854032,2,gini,20,128
train,2377,1161,4866716,147,67.1848502,99.99697957,94.17591125,99.9731439,78.42296272,81.9651273,0.671818298,0.795318033,0.720854032,2,gini,20,128
test,501,674,1621047,52,42.63829787,99.9967923,90.59674503,99.955248,57.98611111,65.29696024,0.426350902,0.621355651,0.713175451,2,gini,30,32
train,2442,1098,4867174,47,68.98305085,99.99903436,98.11169144,99.97649238,81.00845911,83.0556348,0.689820852,0.822580891,0.713175451,2,gini,30,32
test,505,700,1622857,48,41.90871369,99.99704234,91.32007233,99.95394401,57.4516496,64.7359824,0.41905756,0.618468261,0.70952878,2,gini,30,64
train,2457,1053,4865372,43,70,99.99911621,98.28,99.9774899,81.76372712,83.66563294,0.699991162,0.829336994,0.70952878,2,gini,30,64
test,490,701,1621441,60,41.14189757,99.99629972,89.09090909,99.95310262,56.2894888,64.14076333,0.411381973,0.605248844,0.705690986,2,gini,30,128
train,2413,1111,4866781,38,68.47332577,99.9992192,98.4496124,99.97640823,80.76987448,82.74828767,0.68472545,0.820946573,0.705690986,2,gini,30,128
test,357,776,1620396,48,31.50926743,99.99703785,88.14814815,99.94918527,46.42392718,56.1322849,0.315063053,0.526850488,0.657531526,2,entropy,10,32
train,1176,2406,4867800,76,32.83082077,99.99843874,93.92971246,99.94905016,48.65535788,57.29773835,0.328292595,0.555159532,0.657531526,2,entropy,10,32
test,337,821,1622496,40,29.10189983,99.99753472,89.38992042,99.94697277,43.90879479,53.94551175,0.290994346,0.509874928,0.645497173,2,entropy,10,64
train,1054,2503,4865715,69,29.63171212,99.99858193,93.85574354,99.94717971,45.04273504,54.43463228,0.296302941,0.527204878,0.645497173,2,entropy,10,64
test,378,790,1620868,55,32.3630137,99.99660687,87.29792148,99.94790675,47.2204872,56.88753429,0.323596206,0.531352162,0.661798103,2,entropy,10,128
train,1218,2329,4867304,93,34.33887793,99.99808933,92.90617849,99.95027658,50.14409222,58.59882407,0.343369673,0.564665757,0.661798103,2,entropy,10,128
test,570,636,1623470,99,47.26368159,99.99390232,85.20179372,99.95476297,60.8,68.74649053,0.472575839,0.6343958,0.73628792,2,entropy,20,32
train,2368,1141,4864648,103,67.48361357,99.99788273,95.83164711,99.97444672,79.19732441,82.1475409,0.674814963,0.804069682,0.73628792,2,entropy,20,32
test,541,684,1621730,76,44.16326531,99.99531387,87.68233387,99.95317403,58.74049946,66.4538906,0.441585792,0.622098512,0.720792896,2,entropy,20,64
train,2324,1166,4866418,96,66.59025788,99.99802734,96.03305785,99.97408626,78.6463621,81.60204916,0.665882852,0.799567481,0.720792896,2,entropy,20,64
test,496,644,1622563,79,43.50877193,99.9951314,86.26086957,99.95547432,57.8425656,65.95957373,0.435039033,0.612450695,0.717519517,2,entropy,20,128
train,2482,1093,4865598,80,69.42657343,99.99835583,96.8774395,99.97591006,80.88642659,83.32192505,0.694249293,0.820009158,0.717519517,2,entropy,20,128
test,515,673,1622344,29,43.35016835,99.99821249,94.66911765,99.95676171,59.46882217,65.84025628,0.433483808,0.640465103,0.716741904,2,entropy,30,32
train,2447,1080,4865923,24,69.3790757,99.99950678,99.02873331,99.97732815,81.59386462,83.29389744,0.693785825,0.8287903,0.716741904,2,entropy,30,32
test,580,649,1622072,49,47.19283971,99.99697926,92.20985692,99.95700249,62.43272336,68.69600726,0.47189819,0.659505809,0.735949095,2,entropy,30,64
train,2408,1078,4866178,21,69.07630522,99.99956845,99.13544669,99.97743181,81.42011834,83.11197695,0.690758737,0.827425991,0.735949095,2,entropy,30,64
test,490,646,1623036,36,43.13380282,99.99778198,93.15589354,99.9580103,58.96510229,65.67560133,0.431315848,0.633738533,0.715657924,2,entropy,30,128
train,2447,1132,4865226,22,68.37105337,99.99954781,99.10895099,99.97629819,80.91931217,82.68660363,0.683706012,0.823076433,0.715657924,2,entropy,30,128
test,432,809,1620584,35,34.81063658,99.99784033,92.50535332,99.94796098,50.58548009,58.99990236,0.348084769,0.56729478,0.674042385,2,gini,10,32
train,1256,2218,4867648,53,36.154289,99.99891119,95.95110772,99.9533788,52.51933933,60.12810936,0.361532002,0.588837244,0.674042385,2,gini,10,32
test,432,762,1622263,52,36.18090452,99.9967947,89.25619835,99.94986169,51.48986889,60.14960084,0.361776992,0.568100817,0.680888496,2,gini,10,64
train,1312,2209,4865932,73,37.26214144,99.9984998,94.72924188,99.95313712,53.48552792,61.04226604,0.372606412,0.593968142,0.680888496,2,gini,10,64
test,401,770,1621995,58,34.2442357,99.99642428,87.36383442,99.9489904,49.20245399,58.51752833,0.3424066,0.546787951,0.6712033,2,gini,10,128
train,1235,2309,4866199,68,34.8476298,99.99860262,94.78127398,99.95118907,50.9593563,59.03146859,0.348462324,0.574553535,0.6712033,2,gini,10,128
test,532,705,1621455,108,43.00727567,99.99333976,83.125,99.9499014,56.68620139,65.57774873,0.430006154,0.597708736,0.715003077,2,gini,20,32
train,2330,1148,4866629,128,66.99252444,99.99736991,94.79251424,99.97380003,78.50404313,81.84788481,0.669898944,0.796778554,0.715003077,2,gini,20,32
test,529,701,1620772,120,43.00813008,99.99259667,81.51001541,99.94938728,56.30654604,65.57815646,0.430007268,0.591872527,0.715003634,2,gini,20,64
train,2327,1158,4867315,113,66.77187948,99.99767845,95.36885246,99.97390633,78.54852321,81.7131136,0.667695579,0.797881442,0.715003634,2,gini,20,64
test,536,646,1622374,122,45.34686971,99.99248072,81.45896657,99.95269998,58.26086957,67.33755264,0.453393504,0.607576499,0.726696752,2,gini,20,128
train,2382,1151,4865700,124,67.42145485,99.99745161,95.0518755,99.97381584,78.88723299,82.1095224,0.674189065,0.800418582,0.726696752,2,gini,20,128
test,471,670,1621480,43,41.27957932,99.99734817,91.63424125,99.95605991,56.918429,64.24833434,0.412769275,0.614871943,0.706384637,2,gini,30,32
train,2482,1092,4866770,27,69.44599888,99.99944522,98.92387405,99.97702434,81.60447148,83.33403483,0.694454441,0.828749329,0.706384637,2,gini,30,32
test,488,687,1623089,31,41.53191489,99.9980901,94.02697495,99.95579621,57.61511216,64.44464421,0.41530005,0.624754644,0.707650025,2,gini,30,64
train,2422,1118,4865184,16,68.4180791,99.99967113,99.34372436,99.97670855,81.03044496,82.71508574,0.684177502,0.824336234,0.707650025,2,gini,30,64
test,514,698,1621926,30,42.40924092,99.99815038,94.48529412,99.95514944,58.54214123,65.12177556,0.424073913,0.632854692,0.712036957,2,gini,30,128
train,2427,1076,4866342,22,69.28347131,99.99954792,99.10167415,99.97745318,81.55241935,83.23650527,0.692830192,0.82852469,0.712036957,2,gini,30,128
test,339,740,1620934,29,31.41797961,99.99821094,92.11956522,99.95259062,46.85556323,56.0512422,0.314161906,0.537830107,0.657080953,2,entropy,10,32
train,1149,2487,4867288,69,31.60066007,99.99858239,94.33497537,99.9475261,47.34239802,56.21406594,0.315992425,0.545829642,0.657080953,2,entropy,10,32
test,335,845,1622891,31,28.38983051,99.99808987,91.53005464,99.9460625,43.33764554,53.28159929,0.283879204,0.509594994,0.641939602,2,entropy,10,64
train,1107,2428,4865343,55,31.31541726,99.99886957,95.26678141,99.9490032,47.13647009,55.95986352,0.313142868,0.546044814,0.641939602,2,entropy,10,64
test,387,801,1621562,44,32.57575758,99.99728664,89.79118329,99.94792931,47.80728845,57.07440204,0.325730442,0.540662924,0.662865221,2,entropy,10,128
train,1211,2316,4866604,110,34.335129,99.99773975,91.67297502,99.95018727,49.95874587,58.59552282,0.343328688,0.560871029,0.662865221,2,entropy,10,128
test,505,679,1620355,74,42.65202703,99.99543331,87.2193437,99.95356475,57.28871242,65.30702814,0.426474603,0.609745614,0.713237302,2,entropy,20,32
train,2303,1228,4867818,73,65.22231662,99.99850038,96.92760943,99.97329322,77.97528356,80.75972916,0.65220817,0.794987608,0.713237302,2,entropy,20,32
test,503,613,1622217,84,45.07168459,99.99482217,85.68994889,99.95706587,59.07222548,67.1337105,0.450665068,0.621292551,0.725332534,2,entropy,20,64
train,2407,1192,4865952,67,66.8796888,99.9986231,97.29183508,99.97414582,79.26889511,81.77943992,0.668783119,0.806540501,0.725332534,2,entropy,20,64
test,476,701,1622090,76,40.44180119,99.99531491,86.23188406,99.95213581,55.06072874,63.59237883,0.404371161,0.590357683,0.70218558,2,entropy,20,128
train,2377,1161,4866086,68,67.1848502,99.99860259,97.21881391,99.97476226,79.45846565,81.96579247,0.671834528,0.808077536,0.70218558,2,entropy,20,128
test,520,693,1622425,38,42.86892003,99.99765788,93.18996416,99.9549787,58.72388481,65.47359467,0.428665779,0.631894346,0.71433289,2,entropy,30,32
train,2403,1099,4865817,40,68.61793261,99.99917795,98.36266885,99.97660883,80.84104289,82.83560136,0.686171106,0.821450709,0.71433289,2,entropy,30,32
test,498,686,1621675,43,42.06081081,99.99734849,92.05175601,99.95508047,57.73913043,64.85344676,0.420581593,0.622073069,0.710290797,2,entropy,30,64
train,2445,1086,4866583,19,69.24384027,99.99960958,99.2288961,99.97731068,81.56797331,83.21272134,0.692434499,0.828818812,0.710290797,2,entropy,30,64
test,516,699,1623324,38,42.4691358,99.99765918,93.14079422,99.95463434,58.33804409,65.16758525,0.42466795,0.628773663,0.712333975,2,entropy,30,128
train,2462,1038,4864938,20,70.34285714,99.9995889,99.19419823,99.97826827,82.31360749,83.87047631,0.70342446,0.835228233,0.712333975,2,entropy,30,128
test,356,775,1620213,47,31.47656941,99.99709923,88.33746898,99.94930279,46.41460235,56.10316956,0.314736686,0.527143193,0.657368343,2,gini,10,32
