isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeIS,reduction
undersampling,50,20,Test,2,94.0,55647.0,94.0,8.0,92.15686274509804,99.8313629106044,50.0,99.81734505667676,64.82758620689656,95.91738741963648,94.45921279474994,0.5330734036849779,0.08096176165,0.0031923208655712364
undersampling,50,30,Train,2,390.0,388.0,390.0,0.0,100.0,49.87146529562982,50.0,66.6095890410959,66.66666666666667,70.61973187121983,84.96143958868895,1.0,0.0994328548,0.0034162663458245147
undersampling,50,30,Test,2,93.0,55453.0,93.0,9.0,91.17647058823529,99.83257120224678,50.0,99.81670500287521,64.58333333333333,95.40640173473454,93.77330077243873,0.5287829229562248,0.0994328548,0.0034162663458245147
undersampling,10,10,Train,3,400.0,435.0,400.0,14.0,96.61835748792271,52.09580838323353,50.0,66.85348278622898,65.89785831960462,70.94653929539888,83.26159275651595,0.9844097995545658,0.081070285,0.003724223242837779
undersampling,10,10,Test,3,70.0,54815.0,70.0,8.0,89.74358974358975,99.87246059943519,50.0,99.85808634899843,64.22018348623853,94.67266305918801,92.7822510003434,0.5172795416404338,0.081070285,0.003724223242837779
undersampling,10,20,Train,3,411.0,418.0,411.0,3.0,99.27536231884058,50.42219541616405,50.0,66.69348350764281,66.50485436893204,70.75084253103329,84.61941224803762,0.996437054631829,0.09941812671666667,0.003649651045984726
undersampling,10,20,Test,3,69.0,55289.0,69.0,9.0,88.46153846153845,99.87535676866939,50.0,99.85929720759074,63.88888888888889,93.99536006714119,91.88568395367773,0.5222921635910306,0.09941812671666667,0.003649651045984726
undersampling,10,30,Train,3,410.0,435.0,410.0,4.0,99.03381642512076,51.4792899408284,50.0,67.11675933280381,66.45056726094003,71.40161447541341,84.76745847983305,0.9954441913439636,0.0907986945,0.003724223242837779
undersampling,10,30,Test,3,72.0,55131.0,72.0,6.0,92.3076923076923,99.86957230585294,50.0,99.85890269712921,64.86486486486486,96.01421640210111,94.5762563071405,0.5210847562529639,0.0907986945,0.003724223242837779
undersampling,25,10,Train,3,406.0,408.0,406.0,8.0,98.06763285024155,50.122850122850124,50.0,66.28664495114006,66.23164763458402,70.1101224022277,83.68419803202413,0.9903846153846153,0.08940603636666666,0.003605785047835871
undersampling,25,10,Test,3,71.0,55336.0,71.0,7.0,91.02564102564102,99.87185734654466,50.0,99.85942146526088,64.54545454545455,95.34621038819846,93.67950592191211,0.523650852892626,0.08940603636666666,0.003605785047835871
undersampling,25,20,Train,3,414.0,423.0,414.0,0.0,100.0,50.53763440860215,50.0,66.90647482014388,66.66666666666667,71.089826563723,85.16129032258064,1.0,0.10497588881666667,0.0036715840450591533
undersampling,25,20,Test,3,71.0,55054.0,71.0,7.0,91.02564102564102,99.87120181405895,50.0,99.85870333134069,64.54545454545455,95.34589747401762,93.6793092621664,0.5198914650529298,0.10497588881666667,0.0036715840450591533
undersampling,25,30,Train,3,411.0,404.0,411.0,3.0,99.27536231884058,49.57055214723927,50.0,66.31407648494712,66.50485436893204,70.15079846133014,84.36391926736019,0.9963144963144963,0.0926342375,0.003588238648576329
